"region","sexo","edad","educ","ingreso","univ","genero"
5,1,21,9,NA,NA,"Hombre"
7,1,7,1,NA,NA,"Hombre"
7,1,37,8,1000000,0,"Hombre"
14,2,76,1,8333,0,"Mujer"
13,1,9,1,NA,NA,"Hombre"
13,2,36,11,1000000,1,"Mujer"
15,2,65,1,NA,0,"Mujer"
13,2,62,11,955082,1,"Mujer"
4,2,7,1,NA,NA,"Mujer"
3,2,54,3,216667,0,"Mujer"
5,1,0,0,NA,NA,"Hombre"
13,1,39,9,802500,0,"Hombre"
6,1,54,5,300000,0,"Hombre"
11,1,2,0,NA,NA,"Hombre"
6,1,58,2,610000,0,"Hombre"
14,2,16,2,NA,NA,"Mujer"
6,2,48,2,NA,0,"Mujer"
8,1,2,0,NA,NA,"Hombre"
15,1,40,11,1002917,1,"Hombre"
8,1,42,6,388333,0,"Hombre"
8,2,67,5,250000,0,"Mujer"
6,1,67,5,125000,0,"Hombre"
4,1,41,5,480000,0,"Hombre"
13,2,11,1,NA,NA,"Mujer"
14,2,13,2,NA,NA,"Mujer"
13,2,3,0,NA,NA,"Mujer"
13,1,2,0,NA,NA,"Hombre"
4,1,68,4,NA,0,"Hombre"
13,2,20,4,NA,NA,"Mujer"
16,1,62,1,287520,0,"Hombre"
1,2,3,0,NA,NA,"Mujer"
15,2,16,2,NA,NA,"Mujer"
8,1,1,0,NA,NA,"Hombre"
9,1,4,0,NA,NA,"Hombre"
6,2,45,4,400000,0,"Mujer"
12,2,46,4,120000,0,"Mujer"
4,2,84,2,NA,0,"Mujer"
2,1,1,0,NA,NA,"Hombre"
13,1,37,9,684167,0,"Hombre"
1,1,28,9,402500,0,"Hombre"
6,2,49,5,270000,0,"Mujer"
11,1,8,1,NA,NA,"Hombre"
13,2,40,5,380000,0,"Mujer"
13,2,20,8,400000,NA,"Mujer"
15,2,8,1,NA,NA,"Mujer"
5,1,30,8,1272000,0,"Hombre"
15,2,84,3,NA,0,"Mujer"
5,2,59,5,300000,0,"Mujer"
12,2,19,0,NA,NA,"Mujer"
13,2,89,5,200000,0,"Mujer"
13,2,5,0,NA,NA,"Mujer"
13,2,71,2,147000,0,"Mujer"
4,2,34,5,NA,0,"Mujer"
13,2,25,9,808333,NA,"Mujer"
1,1,25,5,420000,NA,"Hombre"
8,1,61,0,292500,0,"Hombre"
4,2,50,0,244000,0,"Mujer"
5,2,43,1,NA,0,"Mujer"
8,1,70,5,1425000,0,"Hombre"
10,1,37,11,450000,1,"Hombre"
16,2,47,2,270000,0,"Mujer"
5,2,29,1,304167,0,"Mujer"
12,2,15,4,NA,NA,"Mujer"
8,2,11,1,NA,NA,"Mujer"
13,1,42,99,NA,NA,"Hombre"
5,2,22,8,300000,NA,"Mujer"
13,2,30,1,NA,0,"Mujer"
16,1,23,9,340000,NA,"Hombre"
13,1,12,1,NA,NA,"Hombre"
8,2,33,10,1200000,0,"Mujer"
6,1,49,5,480000,0,"Hombre"
4,2,2,0,NA,NA,"Mujer"
16,2,14,3,NA,NA,"Mujer"
13,1,67,3,200000,0,"Hombre"
13,2,57,2,NA,0,"Mujer"
4,2,63,11,275000,1,"Mujer"
5,1,27,9,454167,NA,"Hombre"
2,2,56,6,350000,0,"Mujer"
5,1,21,7,NA,NA,"Hombre"
13,1,52,5,606667,0,"Hombre"
14,2,26,6,NA,NA,"Mujer"
7,2,1,0,NA,NA,"Mujer"
9,1,53,2,321667,0,"Hombre"
16,1,47,1,100000,0,"Hombre"
5,1,54,5,460000,0,"Hombre"
1,1,49,5,403333,0,"Hombre"
13,1,14,2,NA,NA,"Hombre"
4,2,3,0,NA,NA,"Mujer"
9,1,62,11,2529167,1,"Hombre"
6,1,23,6,260000,NA,"Hombre"
11,2,40,8,406667,0,"Mujer"
13,2,30,11,452917,1,"Mujer"
13,2,7,1,NA,NA,"Mujer"
16,1,88,2,833,0,"Hombre"
5,1,23,6,348764,NA,"Hombre"
5,1,2,0,NA,NA,"Hombre"
13,1,64,1,480000,0,"Hombre"
13,1,21,7,NA,NA,"Hombre"
6,1,33,3,440000,0,"Hombre"
8,1,22,5,NA,NA,"Hombre"
5,2,77,2,132000,0,"Mujer"
7,1,37,9,320000,0,"Hombre"
9,2,76,1,NA,0,"Mujer"
8,1,54,3,350000,0,"Hombre"
13,2,12,1,NA,NA,"Mujer"
7,1,21,7,60000,NA,"Hombre"
11,2,66,1,NA,0,"Mujer"
5,2,3,0,NA,NA,"Mujer"
15,2,43,5,415000,0,"Mujer"
10,1,60,2,271667,0,"Hombre"
14,1,77,2,130000,0,"Hombre"
13,2,33,7,504167,0,"Mujer"
7,2,52,5,NA,0,"Mujer"
13,1,62,8,888333,0,"Hombre"
4,1,8,1,NA,NA,"Hombre"
13,1,56,3,500000,0,"Hombre"
8,1,63,3,110000,0,"Hombre"
6,1,52,2,556667,0,"Hombre"
5,1,5,0,NA,NA,"Hombre"
14,1,51,2,541667,0,"Hombre"
13,1,63,6,503333,0,"Hombre"
15,2,29,11,300000,1,"Mujer"
5,2,52,5,NA,0,"Mujer"
3,2,63,1,60000,0,"Mujer"
7,2,52,3,NA,0,"Mujer"
7,1,11,1,NA,NA,"Hombre"
15,2,27,6,NA,NA,"Mujer"
8,2,47,8,400000,0,"Mujer"
2,2,32,1,NA,0,"Mujer"
8,1,6,0,80000,NA,"Hombre"
14,2,82,3,417,0,"Mujer"
12,2,41,2,319667,0,"Mujer"
7,2,7,1,NA,NA,"Mujer"
5,1,30,1,342500,0,"Hombre"
13,1,65,11,2316667,1,"Hombre"
9,1,50,6,73333,0,"Hombre"
11,2,33,10,1033833,0,"Mujer"
13,2,20,9,NA,NA,"Mujer"
13,1,5,0,NA,NA,"Hombre"
1,1,11,1,NA,NA,"Hombre"
8,2,32,8,420000,0,"Mujer"
13,1,18,2,NA,NA,"Hombre"
13,2,52,5,363667,0,"Mujer"
9,1,36,5,480000,0,"Hombre"
13,2,2,0,NA,NA,"Mujer"
13,1,14,1,NA,NA,"Hombre"
5,2,93,12,450000,1,"Mujer"
13,1,46,6,937833,0,"Hombre"
4,1,32,2,300000,0,"Hombre"
6,1,16,3,80000,NA,"Hombre"
3,2,58,1,NA,0,"Mujer"
